Age,kmDriven,AskPrice,km_per_year,post_year,post_month,Transmission_Manual,Owner_second,FuelType_Hybrid/CNG,FuelType_Petrol,Brand_encoded,model_encoded
10.0,115000,3.666,11500.0,2026,10,0,0,0,0,37.196,37.419
9.0,64000,3.605,7111.0,2026,10,1,0,0,1,36.022,35.932
11.0,61000,3.607,5545.0,2026,11,0,0,0,1,36.188,36.12
10.0,54000,3.607,5400.0,2026,11,0,1,0,1,35.975,35.683
4.0,168500,3.607,25624.5,2026,11,1,0,0,1,36.018,36.232
2.0,25000,3.668,12500.0,2026,11,0,0,0,0,36.539,36.353
9.0,168500,3.607,18722.0,2026,11,0,1,0,1,36.018,35.745
2.0,14000,3.607,7000.0,2026,11,0,0,0,1,36.134,35.877
9.0,56000,3.667,6222.0,2026,11,1,0,0,1,36.199,38.151
8.0,47000,3.668,5875.0,2026,11,0,1,0,0,37.196,37.36
11.0,97763,3.607,8888.0,2026,11,0,1,0,0,36.745,36.733
3.0,74000,3.607,24667.0,2026,11,1,1,0,1,36.199,36.175
9.0,168500,3.605,18722.0,2026,11,1,1,0,1,36.022,36.269
3.0,168500,3.668,25624.5,2026,11,1,1,0,0,36.539,36.353
10.0,71000,3.605,7100.0,2026,11,0,1,0,1,36.099,36.125
4.0,40000,3.607,10000.0,2026,11,1,0,0,0,36.134,35.877
9.0,61000,3.666,6778.0,2026,11,0,1,0,0,37.196,37.504
14.0,83000,3.667,5929.0,2026,7,1,1,0,1,35.975,36.004
12.0,166000,3.607,13833.0,2026,8,1,1,0,0,36.539,36.976
17.5,168500,3.605,9629.0,2026,11,1,1,0,1,36.199,35.782
5.0,91000,3.607,18200.0,2026,11,1,0,0,0,36.018,36.128
2.0,27000,3.607,13500.0,2026,11,1,0,0,0,36.199,36.254
6.0,77620,3.607,12937.0,2026,11,0,0,0,0,35.975,36.094
7.0,85000,3.603,12143.0,2026,10,1,1,0,0,36.179,35.999
8.0,58,3.607,7.0,2026,11,0,1,0,1,36.199,36.999
8.0,25,3.607,3.0,2026,11,1,1,0,0,36.018,35.997
17.5,20024,3.667,1144.0,2026,11,1,0,0,1,36.018,35.911
10.0,80000,3.607,8000.0,2026,11,1,1,0,1,35.975,35.683
5.0,168500,3.607,25624.5,2026,11,0,1,0,1,36.188,36.12
8.0,77000,3.607,9625.0,2026,11,0,0,0,1,36.022,35.851
6.0,63259,3.605,10543.0,2026,11,0,1,0,0,36.018,36.136
7.0,110000,3.607,15714.0,2026,11,1,0,0,0,36.179,35.999
1.0,14000,3.668,14000.0,2026,10,0,0,0,1,35.975,36.004
6.0,52000,3.607,8667.0,2026,11,0,0,0,0,36.188,36.237
13.0,168500,3.668,12962.0,2026,11,0,1,0,0,37.081,38.156
8.0,65000,3.605,8125.0,2026,11,0,1,0,0,37.196,36.227
